,U1_CBD_Commuting_HelsinkiMedium,U2_SparseSuburb_HelsinkiMedium,U3_MicroMobility_HelsinkiMedium,U4_CongestionHotspot_HelsinkiMedium,U5_WorkdayShort_HelsinkiMedium,U6_OfficeWaitHeavyTail_HelsinkiMedium,U7_HighTimeVariance_HelsinkiMedium,C1_Campus_ClassChange,C2_ExamDay_LongStays,C3_Hackathon_24h,C4_Stadium_IngressEgress,C5_Library_Quiet,C6_EmergencyDrill_Evacuation,V1_TaxiLow_HelsinkiMedium,V2_TaxiHigh_HelsinkiMedium,V3_BusOnlyCarriers_HelsinkiMedium,V4_CarOwnership_0_HelsinkiMedium,V5_CarOwnership_100_HelsinkiMedium,R10_TinyRange_5m,R11_SpeedExtremeLow,R12_SpeedExtremeHigh,R1_Rural_RandomWaypoint,R2_VillagesTrails_ThreeClusters,R3_WildlifeTracking,R4_ParkRangers_HelsinkiMedium,R5_MountainRescue,R6_SparseLongRange,R7_SparseTinyBuffer,R8_IntermittentPower,R9_ExtremeRange_200m,D1_ShelterHotspots_Clusters,D2_PartitionedCity_MuleBridge,D3_Aftershock_ErraticMobility,D4_MedicalTriage_TwoClasses,D5_UAVMule_FastRoute_HelsinkiMedium,D6_ShortTtlCritical_5to10min,D7_HighLoad_TrafficStorm,D8_InfrastructureReturns_BackboneLinks,D9_Critical_1minTTL,S1_StrongCommunities_SeparateClusters,S2_WeakCommunities_HighMixing,S3_PeriodicMeetings_RegularRhythm,S4_RandomMixing_NoHotspots,S5_TwoLayer_StudentsStaff,S6_FamilyGroups_SmallPersistent,T10_HighRateLowSpeed_Congestion,T11_TTL_1min,T12_TTL_Infinite_Buffer200M,T13_Buffer_256k,T14_Buffer_200M,T15_TransmitSpeed_256k,T1_ManySmallMsgs_HighRate,T2_FewHugeMsgs_LowRate,T3_MixedBimodal_SmallAndLarge,T4_VeryShortTtl_5to10min,T5_VeryLongTtl_6to24h,T6_UniformSources_RandomFromTo,T7_TargetedToHubs_FewDestinations,T8_BurstTraffic_TimeWindows,T9_BufferStress_SmallBufferHighTraffic
U1_CBD_Commuting_HelsinkiMedium,,1.7111025705895955e-05,1.0461349519985674e-07,0.00048683999114329524,1.1076808226206936e-07,0.04241684293960879,0.03234606239355875,0.2437878781286631,0.01258192677439851,0.03652872932701201,0.16507635222097106,0.01864481658656514,0.9402455773233562,0.30249282358489094,0.07750428649379115,0.07007194483522605,0.005001162983822693,4.255932093411019e-06,0.005193268964252873,0.04027739910834538,0.1402448879547573,0.524631269099876,0.7345182680624367,0.029160195857319104,0.6878883540716367,0.1979798253932732,0.1782367419008657,0.0722837917445216,0.3811723476654998,0.2496941142798237,0.6685825903239624,0.2025293110952362,0.1403772993136121,0.13767329900810865,0.5260051727528603,0.5063603733664994,0.997556551315463,0.44990434650414657,0.4557672207645793,0.7155191598675119,0.5032226266220237,0.08523110513941567,0.046962320556226844,0.5605852504316506,0.7723302245177117,0.040820986952964766,0.5774076163491246,0.09337730096614072,0.125427774079792,0.09739617257886302,0.3452475986688337,0.056237692114694315,0.40863014669941045,0.17686195296488116,0.05840040775886579,0.03720473028463189,0.07306060666639569,0.039652111910595256,0.032511327574294535,0.06572414220936507
U2_SparseSuburb_HelsinkiMedium,1.7111025705895955e-05,,0.008085382904241545,0.054746808714326356,0.001088885342302559,0.00933781637311748,0.05063991948872526,0.18181620783347574,0.002148508831930851,0.05715773750758757,0.030653321000271738,0.027923909610976905,0.7942557436253197,0.06191423504475391,0.03231106952728591,0.013308175501547836,0.03210022572296278,0.0007635433263297742,0.07913429834103103,0.9225095207007163,0.38138631064660533,0.06500254545530226,0.9452884736613547,0.5813215362454187,0.4502769851086448,0.188838600454325,0.682269538623093,0.6037609972429085,0.6404681363202469,0.5182599199803986,0.39471616467693105,0.14543362295187068,0.04756202220714911,0.06270394451046868,0.38289143910381385,0.091925507862469,0.1890354772600158,0.2569873378574581,0.19101744404489063,0.760768397610667,0.022193018333724224,0.0020318257196505485,0.04009314535905917,0.2871524056893504,0.9568635662699674,0.06803543075940643,0.6753161800859413,0.23973117534135313,0.12968515647648937,0.1226156829389764,0.3617700895374114,0.04108333779446305,0.638604145032891,0.3966351220352409,0.007163330273252555,0.010092530652019205,0.08695610942938692,0.08856018720866765,0.047340346684110024,0.0743985403586036
U3_MicroMobility_HelsinkiMedium,1.0461349519985674e-07,0.008085382904241545,,0.00019340120664801397,7.386546929666338e-10,0.005010007410471973,0.0004881370796399054,0.2586994699633527,0.1296117645324839,0.08693833043332289,0.46650981155746774,0.031034539664616556,0.8608325252989153,0.9038459346403251,0.43472398716867033,0.6771760889544938,0.0006085037792289416,1.3512595742337652e-06,1.0922194944029684e-05,0.0009061076096923415,0.6078342420696572,0.1516102583542971,0.34297267637362383,0.0020620332967313804,0.07540460796935955,0.20154574023749738,0.1305056684929926,0.17247013833605918,0.30682355674010253,0.1735617199731605,0.9356092927969333,0.32798502075752056,0.8170100320584557,0.47496180339293836,0.6209939094857129,0.8962325838059058,0.11286195227097662,0.69675128143514,0.27920758728915085,0.15614922357669303,0.6184737549143624,0.5423786652434905,0.1778518162896825,0.8251932255112877,0.6211299749769597,0.13924134935092658,0.9691144531910802,0.002857866701279077,0.2935787464334474,0.05027807844459997,0.2954380912553196,0.009589203442874839,0.25291113867295834,0.13109774752365833,0.6270412496239439,0.1259142303028402,0.0006286907015764509,0.011153354908197022,0.09610411245036032,0.14476626501793932
U4_CongestionHotspot_HelsinkiMedium,0.00048683999114329524,0.054746808714326356,0.00019340120664801397,,0.00020971828016391747,2.8945612573494373e-09,4.560796185160143e-13,0.04461428005927237,0.0009990637124284163,0.897506483802218,0.08772518281645714,0.001075106474357046,0.5650279531904268,0.9204889188701344,0.5869751792186211,6.43582344084237e-06,9.992007221626409e-15,0.009112352979532057,1.1850831227455672e-07,7.755506147710811e-05,0.9045686125855248,0.08222971745425833,0.11525193681498824,0.0006548345032961755,0.13505970784863774,0.03398941179480497,0.02120400462987604,0.00027823209973809604,0.13299021993625537,0.0320764780524887,0.0765981202313808,0.036880742994624294,0.003599197575721691,0.011700669482972215,0.48502383159172835,0.10037242788423173,0.354426683141837,0.590333150532568,0.1163139093624288,0.3675155718979437,0.004197608991268753,0.0025081245362819082,9.337328219727326e-06,0.09757087985208157,0.31422185365998967,0.00041047959035345194,0.9211381505414868,0.09807164098570165,0.23154873729096614,0.09371607416967564,0.005989984123753844,9.924342608180758e-05,0.18806468169659252,0.2098073433478269,0.003552094671503747,5.5827594601209896e-05,5.270380825317389e-06,0.6153728932540012,0.04559848422724588,6.848396494163467e-05
U5_WorkdayShort_HelsinkiMedium,1.1076808226206936e-07,0.001088885342302559,7.386546929666338e-10,0.00020971828016391747,,0.0034926073916148326,0.0014998615600037013,0.19175875876776405,0.06632435458824948,0.08191117292349182,0.1092352238935217,0.03268597479763824,0.9963834834488798,0.32602985581538846,0.11894257675168385,0.11077504893031187,0.00042566646079089665,2.498296187192217e-05,0.0001966993319246768,0.010103265826412189,0.29476329024305703,0.37209081762345564,0.6151541716766413,0.015095976511140696,0.4887547755718309,0.2530065706742395,0.2522466296045045,0.03791003000254567,0.3893452421286605,0.20501116021411958,0.5322382702263915,0.1425513176687938,0.4797295106271098,0.32088445303685953,0.697868224170259,0.6384008165589563,0.8149107130496742,0.33543245881601536,0.391978187673399,0.8386497062047509,0.15831880165015622,0.21813163439504146,0.00511391870234279,0.29803441516174156,0.7721950744395971,0.03134948184908981,0.9259805347430516,0.07800136994537588,0.14575769138501027,0.28439059866708805,0.3274995417285178,0.002391202712997309,0.44087619260485567,0.16908806537188514,0.15556145127256316,0.14926929929146016,0.003573893533511674,0.008801370457014457,0.07357922800521588,0.00954568531748734
U6_OfficeWaitHeavyTail_HelsinkiMedium,0.04241684293960879,0.00933781637311748,0.005010007410471973,2.8945612573494373e-09,0.0034926073916148326,,6.119136308768702e-10,0.09421857756910268,0.003566294095952438,0.9488873144781227,0.23926967552384926,0.006590333176510033,0.6220319883288359,0.8268863266927509,0.6256219192470407,5.16495806150985e-05,1.6570709677754536e-06,0.03190461738918682,4.561000517488978e-06,0.0005512708705273095,0.9131963480288061,0.12310592372437656,0.16447486541400824,0.0033718550818215842,0.18375187226529444,0.03878577287293461,0.14946290556703357,0.000522854232391623,0.20083160565893143,0.06271679483189274,0.11796667348436829,0.06318211063131196,0.006581128257685309,0.025010865794790726,0.5401037550341061,0.10433202804995445,0.26511865023739234,0.6316605470601471,0.01830904549262624,0.42958686292716486,0.006351220618081133,0.0016037644562687525,3.193962784364679e-05,0.13831082061534605,0.3802243294677443,0.01898323500977983,0.23544302010555973,0.07677374632109779,0.49989924185659906,0.036273054833891205,0.20142903866457096,4.964407487850764e-05,0.17663682859984986,0.6514543448018197,0.0050939111975130125,0.0007405826364741408,2.1149392748887053e-05,0.6548731042843849,0.0831218480698861,0.00024563469454941256
U7_HighTimeVariance_HelsinkiMedium,0.03234606239355875,0.05063991948872526,0.0004881370796399054,4.560796185160143e-13,0.0014998615600037013,6.119136308768702e-10,,0.0769270906421291,0.0049532845795507985,0.911531983884641,0.13385309864558748,0.004045577426125657,0.5958147621008303,0.7821257341633032,0.6770153642695282,8.474164834160192e-05,1.3691492384282355e-11,0.012552545136692572,9.43523026375459e-08,7.586201487286282e-05,0.8016279026311872,0.07466234110341108,0.10764539732999334,0.0011636004696646829,0.1246400962745211,0.058518465957031474,0.1822398901018223,0.0006069310632670355,0.16238479292829444,0.05630680107229358,0.0714699350740009,0.038763519427919446,0.0114570240392311,0.015031741700809897,0.43422011178726505,0.15151326084404237,0.413767540145364,0.5550586510118702,0.00890848941545963,0.33860258169817636,0.0025709526779356118,0.003008427995143226,5.324371051385057e-06,0.16066247875492823,0.3184569186060593,0.022604998606047033,0.1827127728953606,0.08489972821550174,0.30338573902241706,0.01931400828569374,0.23679125995105,6.954011939175331e-06,0.1207571216852823,0.11292740100523346,0.018414759860623242,0.0016596435178450886,2.121546387456874e-07,0.7628808159366669,0.017021681380975373,0.00011846863212250369
C1_Campus_ClassChange,0.2437878781286631,0.18181620783347574,0.2586994699633527,0.04461428005927237,0.19175875876776405,0.09421857756910268,0.0769270906421291,,0.05876866744908216,0.9464081568953688,0.9727576301953307,0.06447570998303442,0.41384334644564924,0.33693740320820376,0.2630285754009971,0.08932306005668389,0.09288961144985719,0.2584558599533988,0.23713847843348113,0.7201522352862035,0.9386354331027098,0.44649411993556853,0.7593645174969565,0.009137709507067715,0.7972365763567746,0.8246316609635072,0.8597616802787864,0.5039541689561795,0.9473975447997312,0.812152961741067,0.8762272267861517,0.6832423204231599,0.826696727182854,0.2526489691033733,0.5374596834002454,0.8518963227375087,0.701013376582651,0.9663855379182436,0.9424659025349547,0.829881506408999,0.12363662519700824,0.5109730489215449,0.14881322914337924,0.6191326822572769,0.7754728122201076,0.5881355690677492,0.794267447283862,0.8050441436933617,0.6753690505260392,0.6437311041392171,0.07295364986325725,0.6292690589524619,0.11808838979081182,0.8249379995778525,0.4965337530521283,0.14867540504645826,0.2880225643253185,0.8329071894492497,0.3199572344080617,0.7103581965688965
C2_ExamDay_LongStays,0.01258192677439851,0.002148508831930851,0.1296117645324839,0.0009990637124284163,0.06632435458824948,0.003566294095952438,0.0049532845795507985,0.05876866744908216,,6.223817587747149e-05,0.7810212788044539,8.881784197001252e-16,0.379859247851845,0.019107055406336393,0.006539868853971287,0.0001716314050312917,0.000743361513048546,0.0074069693532532455,0.01348982592630299,0.15265723653080787,0.1483653540757306,0.40451908207994025,0.6545750787493989,0.00101277957470014,0.36302717614138924,0.05820105620087368,0.9230992369121442,0.21713758059587107,0.9067136852838158,0.6940122423762205,0.44570658078746894,0.5519023900974331,2.3196230913846705e-06,0.849628761293947,0.06831667993597845,0.0722420017176777,0.2807481095494089,0.9141964604134549,0.009705302672642135,0.46035726775666075,0.3470219869025679,6.146082960345467e-07,0.05114171243030485,0.05498958638014595,0.9180233077291238,0.17303545833217227,0.5528649371688328,0.4569740628133325,0.8392789569268784,0.8448003109150237,0.9721797249423427,0.13062400197045054,0.9147774059253719,0.9229278405575521,0.00018213888207396778,3.805290891567559e-05,0.20621474260488792,0.5714916505307119,0.8941239507268977,0.252717117491974
C3_Hackathon_24h,0.03652872932701201,0.05715773750758757,0.08693833043332289,0.897506483802218,0.08191117292349182,0.9488873144781227,0.911531983884641,0.9464081568953688,6.223817587747149e-05,,0.5025393701458043,3.838188300830936e-05,0.23269124591549195,0.08724615020430315,0.059618899183755625,0.5775605793947738,0.9687874732136168,0.02918863385223114,0.2656701129899899,0.3628384562537823,0.1466096489074229,0.5229436122228313,0.6219894105992103,0.006730683193994835,0.4441403060739779,0.01780298645197731,0.7595456703451728,0.9633955207757647,0.7817865120347494,0.6993813824949191,0.23419193259170656,0.8207282048081941,0.1048074688188152,0.19065813548412947,0.11348136446252743,0.004562540466770404,0.002236914279588831,0.8087475180388091,0.35673213147827854,0.2987613049910962,0.6292588347285393,0.13429231122151686,0.5975792123092427,0.6653216739329266,0.9003747861772116,0.9582405337935076,0.896784486760478,0.09736086424169654,0.5073585762021966,0.08633638652863973,0.29485709200755883,0.6496274445473684,0.7563431707564094,0.9707129269648589,0.5311035099337453,0.49724516541388186,0.994064546704934,0.5253122183296279,0.00028091901338278547,0.9794600012350272
C4_Stadium_IngressEgress,0.16507635222097106,0.030653321000271738,0.46650981155746774,0.08772518281645714,0.1092352238935217,0.23926967552384926,0.13385309864558748,0.9727576301953307,0.7810212788044539,0.5025393701458043,,0.6855518551685651,0.06556720565272767,0.029118820778137655,0.0746061876289339,0.7828331013544885,0.09928871270022599,0.17557201381691878,0.10367450026656888,0.025339362633001405,0.3518060534835752,0.026840658342934365,0.1600555084191453,0.07208974063639761,0.04694641873984917,0.1698931597432507,0.08692847710055696,0.03748250158445576,0.6258130014848282,0.6393145721336089,0.5999491961258601,0.6101492798700869,0.2621809671483406,0.08885187731753952,0.15680287490093292,0.02771882291758465,0.015223078808629387,0.7804071259372276,0.6961646037758142,0.46444443689969406,0.8052309250695768,0.5905480781510661,0.3939865470139554,0.4557833618390481,0.2620171552053474,0.24950987785726508,0.9270615146962475,0.010408308715927683,0.9321481678775818,0.028563770074924166,0.15295794491096548,0.4332498807123324,0.7049574542838555,0.8911770043965461,0.5506455977999045,0.12045892105959943,0.3185888830934993,0.6693054984790403,2.8418887554337857e-06,0.3090782437566635
C5_Library_Quiet,0.01864481658656514,0.027923909610976905,0.031034539664616556,0.001075106474357046,0.03268597479763824,0.006590333176510033,0.004045577426125657,0.06447570998303442,8.881784197001252e-16,3.838188300830936e-05,0.6855518551685651,,0.3215906951317775,0.14956916050314595,0.045427215567014345,0.0073491003061347815,0.0021894794996351052,0.02744187530460729,0.003587850830470307,0.019909197445004745,0.3282502282964952,0.7710568827731947,0.5847623144087197,1.3070427411498997e-05,0.8747710300181413,0.7112031950405768,0.6723376633675953,0.27071737403124585,0.7685099596979548,0.9533420083494477,0.6186789566381095,0.8392589138800977,0.0051450805425528046,0.26049923323256197,0.25177796534673846,0.8509592028207338,0.9020087687575278,0.44325991274917076,0.48178452621770296,0.49345727378114956,0.24283870995458878,0.014287601944547035,0.022006093124353088,0.19104290851143313,0.8066284833048449,0.16314467276564892,0.5251130206286563,0.7728270416396956,0.46990797453401734,0.8323970517525128,0.41171551128792094,0.08575148567156043,0.8531770891818606,0.7330291740034043,0.11395394136024861,0.0281580940647419,0.04982462255928288,0.9018001935113538,0.8298791908251855,0.11802472122326502
C6_EmergencyDrill_Evacuation,0.9402455773233562,0.7942557436253197,0.8608325252989153,0.5650279531904268,0.9963834834488798,0.6220319883288359,0.5958147621008303,0.41384334644564924,0.379859247851845,0.23269124591549195,0.06556720565272767,0.3215906951317775,,0.9841766470645972,0.8898400010927254,0.6211936923286192,0.6646777903964314,0.9947903633423465,0.18026479570576126,0.08707005170915072,0.5173915953779205,0.17128921009343157,0.5825507146125453,0.14203603801704,0.5512049801165577,0.5496081892172533,0.39095173717508924,0.15476991418309316,0.6576200461761961,0.3011642853715082,0.7238727968394225,0.693789054369615,0.17549795034715587,0.40880293540127344,0.870972204732829,0.28995146154523166,0.23023456670875442,0.8851316966209242,0.3644003701612637,0.8733691418017346,0.8932222919600143,0.3705131409310576,0.3114045839161548,0.7160360114475603,0.5802024666771843,0.7034984586862301,0.9906572578678241,0.39996301523888067,0.3704583212661978,0.47705963161433473,0.9029697124734781,0.5238944183130305,0.5853034334941167,0.4666821929080618,0.9973235229610471,0.24591932268144157,0.34925735074169184,0.32928069577678554,0.2877805428024205,0.48673201970923974
V1_TaxiLow_HelsinkiMedium,0.30249282358489094,0.06191423504475391,0.9038459346403251,0.9204889188701344,0.32602985581538846,0.8268863266927509,0.7821257341633032,0.33693740320820376,0.019107055406336393,0.08724615020430315,0.029118820778137655,0.14956916050314595,0.9841766470645972,,0.0,0.0636191010852627,0.7950111480879636,0.1985099319242618,0.25138374332621294,0.7121874316953325,0.0029989408638473325,0.6195312842134177,0.663923894837025,0.49637553849731786,6.391105422665078e-10,0.3457790424592537,0.5044351114439207,0.8409422516623053,0.9441260112350305,0.6537545294863916,0.25870812823695255,0.1035106661916605,0.07072942922157166,0.10035501079445952,2.0806676381823763e-08,0.16038101279051697,0.29307923975194305,0.2097973432969198,0.008546956276762163,0.24796217492502892,0.13265670180152922,0.014950297082327646,0.1088973269896627,0.28774321392187785,0.6662451528949456,0.929011408759765,0.31420518003991793,0.15094483461178498,0.35229903411794905,0.20281172493083632,0.07292569419426576,0.4348962618586105,0.7730190696027228,0.6319423902314978,0.13558525898837903,0.19330444957934967,0.2734399309204678,0.19149699739773385,0.1218117054878447,0.7052069910683425
V2_TaxiHigh_HelsinkiMedium,0.07750428649379115,0.03231106952728591,0.43472398716867033,0.5869751792186211,0.11894257675168385,0.6256219192470407,0.6770153642695282,0.2630285754009971,0.006539868853971287,0.059618899183755625,0.0746061876289339,0.045427215567014345,0.8898400010927254,0.0,,0.05004909808845781,0.5724815446119385,0.07831641962277258,0.07397909856961182,0.29153337208917707,6.814101385788085e-05,0.9426141027001704,0.9600802226401317,0.18281185169695524,1.6974828764837468e-07,0.26026047486013515,0.8221937083925306,0.24046412413503138,0.7001851108325226,0.679752279435109,0.34022925172800056,0.11659316264475494,0.055715338758651534,0.11857036098450191,3.120825975422292e-08,0.23956013942746024,0.41875269072562693,0.2552290227751919,0.16793025261932826,0.37850974285069916,0.20418182083203984,0.018512310363543838,0.04017693646460363,0.514356935821338,0.5011004803529628,0.18902733547980644,0.6445025064081391,0.24379002440301134,0.25949709876121396,0.1748509916055052,0.6408602388111786,0.269328412539769,0.7058047828465901,0.45004519607342464,0.029813201649291354,0.059738639287410855,0.3038381443242888,0.13737232633517626,0.060305326498724554,0.2159625949310955
V3_BusOnlyCarriers_HelsinkiMedium,0.07007194483522605,0.013308175501547836,0.6771760889544938,6.43582344084237e-06,0.11077504893031187,5.16495806150985e-05,8.474164834160192e-05,0.08932306005668389,0.0001716314050312917,0.5775605793947738,0.7828331013544885,0.0073491003061347815,0.6211936923286192,0.0636191010852627,0.05004909808845781,,2.6067615901625985e-05,0.0723430429820977,0.0020447280710860216,0.05707153889295968,0.25662659773115104,0.6685192943807912,0.7434430807105457,0.0755030296818544,0.7028864770433361,0.033126862571492666,0.47908232286458086,0.010719588657800205,0.41645954936154905,0.2175433317093889,0.051567574772742875,0.01947260636646453,0.00014581186082551767,0.002633842931817787,0.8519865635192574,0.006756248400112019,0.014812823494176008,0.4635159026892288,0.01512978872573778,0.07100677634233876,0.00013748704507743348,2.8291330287366634e-05,3.200347428577999e-05,0.03524842688860441,0.7240586754420075,0.010078761729564567,0.639876487811641,0.10510969202178155,0.06286829863905163,0.23325218067029652,0.2988135572832211,0.008847358250254844,0.3418083274192043,0.9044983943293441,0.0002321364456545627,0.00014658800737676891,0.00429276471697726,0.056139409875000545,0.6224184269397852,0.0024854685036694857
V4_CarOwnership_0_HelsinkiMedium,0.005001162983822693,0.03210022572296278,0.0006085037792289416,9.992007221626409e-15,0.00042566646079089665,1.6570709677754536e-06,1.3691492384282355e-11,0.09288961144985719,0.000743361513048546,0.9687874732136168,0.09928871270022599,0.0021894794996351052,0.6646777903964314,0.7950111480879636,0.5724815446119385,2.6067615901625985e-05,,0.01001942461797789,5.616913030248583e-07,0.00021324833088809392,0.9614904489934712,0.09704568447386142,0.15511520584934302,0.001904552184742725,0.16693665564511795,0.017203984862519395,0.1427920351232399,0.0025754861159124065,0.17667888619281036,0.1083453412369455,0.09898268990501524,0.039433924896396855,0.0009423285395437908,0.042645440523803035,0.5386655701476426,0.04928480837524085,0.28291350178103714,0.5726714801189179,0.008394466299918024,0.4005107084119297,0.01497613653245966,0.00047803413421609875,0.0001755810012229464,0.09799103590318858,0.3536211668610634,0.010736826041835013,0.46538151493311863,0.19389335038685407,0.27861281639864255,0.1802941081612095,0.08886722226224064,0.0004589384962272458,0.13595846894885577,0.15499370337325002,0.004410173929271233,3.191296495508311e-05,4.150976092853753e-06,0.5902165982051653,0.046763629906045434,0.0015602571973274415
V5_CarOwnership_100_HelsinkiMedium,4.255932093411019e-06,0.0007635433263297742,1.3512595742337652e-06,0.009112352979532057,2.498296187192217e-05,0.03190461738918682,0.012552545136692572,0.2584558599533988,0.0074069693532532455,0.02918863385223114,0.17557201381691878,0.02744187530460729,0.9947903633423465,0.1985099319242618,0.07831641962277258,0.0723430429820977,0.01001942461797789,,0.01674425674415092,0.06810077882610233,0.11319362536338318,0.5652443869875432,0.8048952070877342,0.0404543267652131,0.7547117069510239,0.12636750448654088,0.396992002232206,0.11398553237472275,0.4515966033804635,0.37247447435491865,0.7783985572780958,0.27190987178493486,0.05443394421003167,0.08348362594540193,0.4835386861382829,0.34892429352774035,0.7881184599479218,0.5461562113728877,0.11174667885305922,0.6441667504848736,0.7566821630598635,0.025909535485488355,0.11750100118520068,0.7113097419670229,0.8082940976880948,0.24980276507008314,0.7797608985037217,0.10664842189089474,0.08002397303291198,0.1007347737170583,0.9527483700418826,0.1121359722645503,0.4369746688182541,0.22352781300443336,0.03973130699839644,0.020931011039475145,0.11594031406471417,0.0764816092895928,0.034746353470984204,0.21004078477169363
